Imbalance Method,Model,Accuracy,F1 Macro,F1 Weighted,Precision,Recall
Tomek Links,XGBoost,0.9096,0.8144,0.9019,0.8595,0.7878
Tomek Links,LightGBM,0.9076,0.8143,0.9014,0.8457,0.794
SMOTE-Tomek,LightGBM,0.8753,0.8103,0.8828,0.7876,0.8506
SMOTE,LightGBM,0.8773,0.8103,0.8847,0.7886,0.8472
Original Data,LightGBM,0.9062,0.809,0.898,0.854,0.7832
SMOTE,XGBoost,0.8609,0.8052,0.8717,0.7801,0.864
SMOTE-Tomek,XGBoost,0.8607,0.8047,0.8715,0.7795,0.8639
ADASYN,LightGBM,0.8692,0.8021,0.8773,0.7802,0.8427
Tomek Links,Random Forest,0.8953,0.8004,0.8907,0.8228,0.7841
Random Over-sampling,XGBoost,0.8504,0.8004,0.8627,0.7759,0.8696
Original Data,Random Forest,0.8941,0.7992,0.8894,0.8216,0.7832
Random Over-sampling,LightGBM,0.8541,0.7971,0.8667,0.7754,0.8533
Original Data,XGBoost,0.9056,0.797,0.8947,0.8557,0.7696
Original Data,Decision Tree,0.8867,0.7951,0.8844,0.8016,0.7895
Tomek Links,Decision Tree,0.8867,0.7937,0.8849,0.8001,0.7914
ADASYN,XGBoost,0.8509,0.7925,0.8631,0.769,0.853
SMOTE-Tomek,Random Forest,0.8564,0.7846,0.8657,0.7654,0.8206
Random Over-sampling,Decision Tree,0.8615,0.7826,0.8681,0.7669,0.8075
Random Over-sampling,Random Forest,0.8667,0.7823,0.8719,0.7711,0.7993
ADASYN,Decision Tree,0.8552,0.7797,0.8633,0.762,0.8116
SMOTE,Random Forest,0.8555,0.7797,0.8634,0.7621,0.8104
SMOTE,Decision Tree,0.8607,0.7796,0.8676,0.7636,0.8055
ADASYN,Random Forest,0.8529,0.7794,0.8618,0.7608,0.8136
SMOTE-Tomek,Decision Tree,0.8564,0.7791,0.8648,0.7613,0.8101
Random Under-sampling,XGBoost,0.8169,0.778,0.8326,0.7612,0.8671
Random Under-sampling,LightGBM,0.8143,0.7693,0.832,0.7543,0.8496
Random Under-sampling,Random Forest,0.8126,0.7678,0.8293,0.7514,0.8486
Random Under-sampling,Decision Tree,0.8006,0.7607,0.8201,0.7493,0.8354
SMOTE-Tomek,SVM,0.8149,0.7607,0.8298,0.7424,0.8281
SMOTE,SVM,0.8146,0.7605,0.8295,0.7419,0.8281
SMOTE,Logistic Regression,0.8052,0.7553,0.8209,0.7386,0.8311
Random Over-sampling,SVM,0.7957,0.7545,0.8114,0.7407,0.8431
SMOTE-Tomek,Logistic Regression,0.8026,0.7536,0.8182,0.7373,0.8303
ADASYN,SVM,0.7997,0.7525,0.8152,0.7363,0.8308
ADASYN,Logistic Regression,0.7871,0.7415,0.8035,0.7291,0.8242
Random Over-sampling,Logistic Regression,0.7768,0.7387,0.7926,0.7295,0.8339
Tomek Links,Logistic Regression,0.889,0.7325,0.8657,0.8278,0.7082
Original Data,Logistic Regression,0.8887,0.7308,0.8655,0.8525,0.705
Random Under-sampling,Logistic Regression,0.7516,0.721,0.7658,0.7197,0.826
Random Under-sampling,SVM,0.7265,0.6974,0.7417,0.7068,0.7961
Tomek Links,SVM,0.8864,0.6879,0.8505,0.8382,0.6767
Original Data,SVM,0.8858,0.6783,0.8483,0.8562,0.6723
